"Name","Naam"
"Customer Name","klantnaam"
"Email","E-mailadres"
"email_address","E-mail"
"Phone Number","Telefoonnummer"
"phone_number","Telefoonnummer"
"Inquiry Message","Omschrijving"
"Comment","Omschrijving"
"Submit","Versturen"
"Email ID","E-mail identiteit"
"Inquiry for","Vraag voor"
"Country","land"
"Phone Number","Telefoonnummer"
"Inquiry Details","Aanvraag Details"
"Call For Price Inquiries","Bel voor prijsinlichtingen"
"Please select Option(s).","Selecteer optie (s)."
"A total of %1 record(s) have been deleted.","Een totaal van% 1 record (s) is verwijderd."
"Your inquiry submitted successfully","Uw aanvraag is succesvol ingediend"
"We can\'t process your request","We kunnen uw verzoek niet verwerken"
"Global","Globaal"
"Product specific","Product specifiek"
"Category specific","Categorie specifiek"
"Email","E-mail"
"Inquiry Message","Onderzoek bericht"
"Privacy Policy","Privacybeleid"
"Please check the the captcha form.","Controleer het captcha-formulier."
"You have received a new call for price inquiry at","U heeft een nieuwe oproep voor prijsaanvraag ontvangen op"
"with the following details:","met de volgende details:"
"Thank you for your interest in our","Bedankt voor uw interesse in ons"
"Your inquiry has been submitted successfully. We are looking into it and will contact you soon.","Uw aanvraag is succesvol ingediend. We onderzoeken het en nemen binnenkort contact met u op."
"Hi",Hoi"